month,W1_przecietna,W2_fundusz_MA12
2000-01,100.0,100.0
2000-02,100.437,100.478
2000-03,100.801,101.076
2000-04,101.092,101.46
2000-05,101.383,101.815
2000-06,101.747,102.081
2000-07,102.038,102.434
2000-08,102.402,102.754
2000-09,102.838,103.224
2000-10,103.13,103.488
2000-11,103.566,104.039
2000-12,104.003,104.553
2001-01,104.003,104.431
2001-02,104.512,104.9
2001-03,104.949,105.233
2001-04,105.095,105.108
2001-05,105.531,105.485
2001-06,105.822,105.674
2001-07,105.895,105.648
2001-08,106.259,105.904
2001-09,106.405,105.88
2001-10,106.696,105.979
2001-11,107.132,106.258
2001-12,107.278,106.388
2002-01,107.424,106.556
2002-02,107.569,106.739
2002-03,107.86,107.153
2002-04,108.006,107.336
2002-05,108.297,107.76
2002-06,108.661,108.268
2002-07,108.952,108.593
2002-08,109.316,109.053
2002-09,109.534,109.293
2002-10,110.044,109.956
2002-11,110.262,110.211
2002-12,110.626,110.483
2003-01,110.699,110.667
2003-02,111.208,111.085
2003-03,111.135,110.872
2003-04,111.208,110.923
2003-05,111.572,111.337
2003-06,111.79,111.581
2003-07,112.082,111.898
2003-08,112.227,112.047
2003-09,112.227,112.15
2003-10,112.227,112.324
2003-11,112.518,112.661
2003-12,112.591,112.819
2004-01,112.882,113.242
2004-02,113.028,113.417
2004-03,113.246,113.847
2004-04,113.464,114.213
2004-05,113.755,114.644
2004-06,114.047,114.905
2004-07,114.192,114.981
2004-08,114.483,115.218
2004-09,114.847,115.581
2004-10,115.066,115.952
2004-11,115.284,116.088
2004-12,115.429,116.196
2005-01,115.721,116.472
2005-02,115.939,116.751
2005-03,116.23,117.001
2005-04,116.521,117.461
2005-05,116.739,117.682
2005-06,117.031,118.044
2005-07,117.54,118.688
2005-08,117.686,118.823
2005-09,117.831,118.831
2005-10,118.486,119.405
2005-11,118.632,119.682
2005-12,119.068,120.078
2006-01,119.505,120.559
2006-02,119.942,121.07
2006-03,120.378,121.566
2006-04,121.033,122.179
2006-05,121.179,122.168
2006-06,121.689,122.58
2006-07,122.125,123.024
2006-08,122.416,123.299
2006-09,122.78,123.614
2006-10,123.217,123.902
2006-11,123.581,124.308
2006-12,124.09,124.833
2007-01,124.381,125.172
2007-02,124.891,125.626
2007-03,125.328,126.136
2007-04,125.691,126.434
2007-05,126.201,126.945
2007-06,126.71,127.396
2007-07,127.074,127.62
2007-08,127.365,127.782
2007-09,127.729,128.128
2007-10,127.948,128.314
2007-11,128.311,128.69
2007-12,128.675,129.064
2008-01,129.112,129.426
2008-02,129.549,129.746
2008-03,130.058,130.153
2008-04,130.422,130.295
2008-05,130.859,130.563
2008-06,131.295,130.885
2008-07,131.732,131.17
2008-08,132.314,131.539
2008-09,132.46,131.357
2008-10,132.824,131.416
2008-11,133.261,131.341
2008-12,133.843,131.522
2009-01,133.843,131.116
2009-02,134.207,131.127
2009-03,134.571,131.131
2009-04,134.789,131.178
2009-05,134.862,131.41
2009-06,135.08,131.709
2009-07,135.298,132.134
2009-08,135.881,133.068
2009-09,136.099,133.595
2009-10,136.39,134.216
2009-11,136.827,135.109
2009-12,137.118,135.569
2010-01,137.409,136.22
2010-02,137.627,136.65
2010-03,137.7,137.121
2010-04,137.991,137.829
2010-05,138.355,138.82
2010-06,138.501,138.87
2010-07,138.574,138.864
2010-08,139.083,139.38
2010-09,139.083,139.292
2010-10,139.811,140.271
2010-11,139.811,140.347
2010-12,139.956,140.488
2011-01,140.684,141.133
2011-02,140.539,141.102
2011-03,140.466,141.145
2011-04,140.902,141.788
2011-05,141.266,142.173
2011-06,141.266,142.29
2011-07,141.776,142.726
2011-08,141.703,142.642
2011-09,141.849,142.843
2011-10,142.358,143.407
2011-11,142.358,143.379
2011-12,142.431,143.48
2012-01,142.576,143.794
2012-02,142.504,143.782
2012-03,142.94,144.257
2012-04,143.231,144.432
2012-05,143.231,144.345
2012-06,143.45,144.464
2012-07,143.741,144.717
2012-08,143.668,144.639
2012-09,144.032,145.001
2012-10,144.032,144.974
2012-11,144.396,145.315
2012-12,144.833,145.825
2013-01,145.051,146.061
2013-02,145.488,146.628
2013-03,145.633,146.753
2013-04,145.852,146.986
2013-05,145.924,147.104
2013-06,146.507,147.683
2013-07,146.579,147.674
2013-08,146.798,147.961
2013-09,147.234,148.381
2013-10,147.38,148.55
2013-11,147.817,149.063
2013-12,148.035,149.133
2014-01,148.399,149.495
2014-02,149.272,150.341
2014-03,149.199,150.355
2014-04,149.272,150.547
2014-05,149.418,150.707
2014-06,149.927,151.352
2014-07,150.0,151.422
2014-08,150.364,151.764
2014-09,150.364,151.833
2014-10,150.655,152.13
2014-11,151.164,152.708
2014-12,150.728,152.292
2015-01,151.383,152.9
2015-02,151.674,153.19
2015-03,152.183,153.54
2015-04,152.256,153.646
2015-05,152.693,154.182
2015-06,152.838,154.253
2015-07,153.057,154.513
2015-08,153.639,154.985
2015-09,153.493,154.753
2015-10,154.221,155.564
2015-11,154.367,155.711
2015-12,154.512,155.902
2016-01,155.095,156.393
2016-02,155.24,156.517
2016-03,155.677,156.985
2016-04,156.186,157.465
2016-05,156.332,157.445
2016-06,156.623,157.784
2016-07,157.06,158.4
2016-08,157.205,158.468
2016-09,157.351,158.702
2016-10,158.006,159.241
2016-11,158.006,159.152
2016-12,158.37,159.55
2017-01,158.806,160.009
2017-02,159.025,160.243
2017-03,159.243,160.387
2017-04,159.68,160.838
2017-05,159.898,161.054
2017-06,160.262,161.419
2017-07,160.626,161.786
2017-08,160.844,161.959
2017-09,161.426,162.454
2017-10,161.426,162.417
2017-11,161.718,162.753
2017-12,162.227,163.237
2018-01,162.737,163.712
2018-02,163.1,164.31
2018-03,163.683,164.933
2018-04,164.119,165.319
2018-05,164.483,165.823
2018-06,164.92,166.284
2018-07,165.211,166.433
2018-08,165.793,167.086
2018-09,166.376,167.542
2018-10,166.594,167.728
2018-11,167.394,168.423
2018-12,168.195,169.229
2019-01,168.341,169.432
2019-02,168.777,169.688
2019-03,169.505,170.487
2019-04,169.796,170.909
2019-05,170.306,171.274
2019-06,170.888,171.931
2019-07,171.252,172.226
2019-08,171.834,172.896
2019-09,172.344,173.44
2019-10,172.853,173.876
2019-11,173.435,174.502
2019-12,173.581,174.603
2020-01,174.017,175.125
2020-02,174.891,176.091
2020-03,175.546,175.07
2020-04,182.969,159.492
2020-05,181.805,163.252
2020-06,180.349,168.832
2020-07,179.694,171.288
2020-08,180.495,175.02
2020-09,180.64,177.317
2020-10,180.786,179.255
2020-11,181.514,181.261
2020-12,183.115,183.612
2021-01,183.115,185.012
2021-02,183.77,187.33
2021-03,184.352,189.79
2021-04,185.735,190.083
2021-05,186.9,190.555
2021-06,187.918,191.676
2021-07,189.01,193.19
2021-08,190.102,194.304
2021-09,191.412,195.572
2021-10,192.504,197.059
2021-11,193.304,198.017
2021-12,194.76,199.462
2022-01,195.852,200.02
2022-02,196.288,200.713
2022-03,197.234,201.529
2022-04,198.544,202.479
2022-05,199.418,202.993
2022-06,200.291,203.721
2022-07,201.31,204.997
2022-08,201.965,205.365
2022-09,202.838,205.888
2022-10,203.712,206.644
2022-11,204.585,207.368
2022-12,205.386,207.8
2023-01,206.041,208.505
2023-02,206.841,209.224
2023-03,207.86,209.911
2023-04,208.879,210.839
2023-05,209.461,211.38
2023-06,210.262,212.091
2023-07,211.135,212.854
2023-08,211.499,213.186
2023-09,212.373,213.954
2023-10,212.955,214.455
2023-11,213.755,215.152
2023-12,214.483,215.806
2024-01,215.502,216.812
2024-02,215.866,217.211
2024-03,216.739,218.135
2024-04,217.249,218.486
2024-05,218.122,219.245
2024-06,218.85,219.886
2024-07,219.505,220.419
2024-08,220.306,221.06
2024-09,221.179,221.978
2024-10,221.834,222.521
2024-11,222.416,223.132
2024-12,223.144,224.024
2025-01,224.09,224.759
2025-02,224.818,225.422
2025-03,225.764,226.357
2025-04,226.274,226.908
2025-05,227.074,227.623
2025-06,227.875,228.303
2025-07,228.457,228.883
2025-08,229.185,229.424
2025-09,229.694,229.967
2025-10,230.713,230.727
2025-11,231.368,231.397
2025-12,231.659,231.649
2026-01,232.46,232.645
2026-02,233.188,233.128
2026-03,233.77,233.992
2026-04,234.571,234.974
2026-05,235.153,235.696
2026-06,235.662,236.228
